Level,Checks,1024_00000_1229-1236-InRays Improvement (%),1024_00000_1229-1236-InRays Final Vs Mov (%),1024_00000_1229-1236-InRays Av. movement,1024_00000_1229-1236-InRays Av. error,1024_00000_1229-1236-InRays RMSE,1024_00000_1229-1236-InRays t C1C2 norm (mm),1024_00000_1229-1236-InRays parallax,1024_00000_1229-1236-InRays nMatches,1024_00000_1229-1236-InRays nMPs,1024_00000_1229-1236-TwoPoints Improvement (%),1024_00000_1229-1236-TwoPoints Final Vs Mov (%),1024_00000_1229-1236-TwoPoints Av. movement,1024_00000_1229-1236-TwoPoints Av. error,1024_00000_1229-1236-TwoPoints RMSE,1024_00000_1229-1236-TwoPoints t C1C2 norm (mm),1024_00000_1229-1236-TwoPoints parallax,1024_00000_1229-1236-TwoPoints nMatches,1024_00000_1229-1236-TwoPoints nMPs,1024_00000_1229-1236-FarPoints Improvement (%),1024_00000_1229-1236-FarPoints Final Vs Mov (%),1024_00000_1229-1236-FarPoints Av. movement,1024_00000_1229-1236-FarPoints Av. error,1024_00000_1229-1236-FarPoints RMSE,1024_00000_1229-1236-FarPoints t C1C2 norm (mm),1024_00000_1229-1236-FarPoints parallax,1024_00000_1229-1236-FarPoints nMatches,1024_00000_1229-1236-FarPoints nMPs,1024_00001_110-120-InRays Improvement (%),1024_00001_110-120-InRays Final Vs Mov (%),1024_00001_110-120-InRays Av. movement,1024_00001_110-120-InRays Av. error,1024_00001_110-120-InRays RMSE,1024_00001_110-120-InRays t C1C2 norm (mm),1024_00001_110-120-InRays parallax,1024_00001_110-120-InRays nMatches,1024_00001_110-120-InRays nMPs,1024_00001_110-120-TwoPoints Improvement (%),1024_00001_110-120-TwoPoints Final Vs Mov (%),1024_00001_110-120-TwoPoints Av. movement,1024_00001_110-120-TwoPoints Av. error,1024_00001_110-120-TwoPoints RMSE,1024_00001_110-120-TwoPoints t C1C2 norm (mm),1024_00001_110-120-TwoPoints parallax,1024_00001_110-120-TwoPoints nMatches,1024_00001_110-120-TwoPoints nMPs,1024_00001_110-120-FarPoints Improvement (%),1024_00001_110-120-FarPoints Final Vs Mov (%),1024_00001_110-120-FarPoints Av. movement,1024_00001_110-120-FarPoints Av. error,1024_00001_110-120-FarPoints RMSE,1024_00001_110-120-FarPoints t C1C2 norm (mm),1024_00001_110-120-FarPoints parallax,1024_00001_110-120-FarPoints nMatches,1024_00001_110-120-FarPoints nMPs
level0,checks,"-0,07","1091,95","5,56","60,77","180,85","131,58","2,00","110,00","220,00","93,22","101,01","2,61","2,64","2,83","131,58","1,96","110,00","216,00","93,31","99,86","2,60","2,60","2,75","131,58","1,96","110,00","216,00","10,57","1240,34","15,53","192,57","359,53","74,84","0,74","93,00","186,00","79,42","280,06","14,68","41,13","42,87","74,84","0,69","93,00","184,00","81,92","246,07","14,68","36,13","37,81","74,84","0,69","93,00","184,00"
level0,no_checks,"8,06","1003,24","5,56","55,83","168,92","131,58","2,00","110,00","220,00","-0,19","1081,11","5,57","60,23","181,09","131,58","2,00","109,00","218,00","50,63","532,76","5,57","29,68","63,37","131,58","2,00","109,00","218,00","17,87","1164,66","15,27","177,89","327,86","74,84","0,74","95,00","190,00","87,44","178,08","15,27","27,20","29,35","74,84","0,74","95,00","190,00","86,96","180,89","15,53","28,08","29,23","74,84","0,74","93,00","186,00"
level1,no_checks,"55,32","188,56","34,42","64,90","143,08","131,67","2,05","86,00","152,00","37,98","264,36","34,42","90,99","201,03","131,67","2,05","86,00","152,00","54,26","194,89","34,42","67,08","145,94","131,67","2,05","86,00","152,00","8,99","1507,72","24,94","375,95","536,91","71,10","0,80","98,00","196,00","49,12","859,53","24,83","213,39","219,87","71,10","0,80","99,00","198,00","7,64","1530,58","24,94","381,65","544,91","71,10","0,80","98,00","196,00"
level2,no_checks,"18,33","531,06","61,36","325,86","331,07","93,35","2,05","89,00","154,00","16,44","542,34","60,43","327,72","333,50","93,35","2,05","88,00","156,00","8,09","593,44","62,56","371,23","377,86","93,35","2,07","88,00","154,00","66,06","564,72","35,43","200,07","229,78","67,50","0,63","73,00","144,00","3,32","1651,20","35,12","579,94","819,38","67,50","0,63","75,00","148,00","4,45","1614,21","35,32","570,13","811,51","67,50","0,60","73,00","144,00"
level3,no_checks,"0,03","612,57","47,85","293,09","374,16","67,52","1,98","132,00","228,00","0,72","614,72","47,71","293,27","373,70","67,52","1,98","133,00","230,00","34,38","406,01","47,71","193,70","216,91","67,52","1,98","133,00","230,00","1,54","1730,57","56,01","969,27","1259,18","62,97","0,79","77,00","148,00","49,99","879,22","56,01","492,44","505,18","62,97","0,79","77,00","148,00","41,36","1030,84","56,01","577,37","690,11","62,97","0,79","77,00","148,00"
