parallax,Av. error (mm),Info,Higher Info
"0,19","275,17",seq0_checks,105-2-115_TwoPoints
"0,21","211,13",seq0_checks,105-2-115_TwoPoints
"0,21","210,16",seq0_checks,105-2-115_TwoPoints
"0,14","363,14",seq0_checks,105-2-115_TwoPoints
"0,14","362,12",seq0_checks,105-2-115_TwoPoints
"0,21","182,84",seq0_checks,105-2-115_TwoPoints
"0,21","181,83",seq0_checks,105-2-115_TwoPoints
"0,20","224,13",seq0_checks,105-2-115_TwoPoints
"0,20","223,19",seq0_checks,105-2-115_TwoPoints
"0,46","99,25",seq0_checks,105-2-115_TwoPoints
"0,46","100,72",seq0_checks,105-2-115_TwoPoints
"0,61","40,23",seq0_checks,105-2-115_TwoPoints
"0,61","42,73",seq0_checks,105-2-115_TwoPoints
"0,48","96,86",seq0_checks,105-2-115_TwoPoints
"0,48","95,78",seq0_checks,105-2-115_TwoPoints
"0,48","99,39",seq0_checks,105-2-115_TwoPoints
"0,48","100,11",seq0_checks,105-2-115_TwoPoints
"0,47","89,31",seq0_checks,105-2-115_TwoPoints
"0,47","88,33",seq0_checks,105-2-115_TwoPoints
"0,37","128,52",seq0_checks,105-2-115_TwoPoints
"0,37","127,51",seq0_checks,105-2-115_TwoPoints
"0,08","590,59",seq0_checks,105-2-115_TwoPoints
"0,08","591,74",seq0_checks,105-2-115_TwoPoints
"0,12","323,42",seq0_checks,105-2-115_TwoPoints
"0,12","322,44",seq0_checks,105-2-115_TwoPoints
"0,25","140,04",seq0_checks,105-2-115_TwoPoints
"0,25","138,97",seq0_checks,105-2-115_TwoPoints
"0,42","59,20",seq0_checks,105-2-115_TwoPoints
"0,42","62,30",seq0_checks,105-2-115_TwoPoints
"0,23","104,64",seq0_checks,105-2-115_TwoPoints
"0,23","103,65",seq0_checks,105-2-115_TwoPoints
"0,14","272,51",seq0_checks,105-2-115_TwoPoints
"0,14","271,54",seq0_checks,105-2-115_TwoPoints
"0,16","184,28",seq0_checks,105-2-115_TwoPoints
"0,16","183,30",seq0_checks,105-2-115_TwoPoints
"0,56","84,38",seq0_checks,105-2-115_TwoPoints
"0,56","83,29",seq0_checks,105-2-115_TwoPoints
"0,28","160,30",seq0_checks,105-2-115_TwoPoints
"0,28","161,69",seq0_checks,105-2-115_TwoPoints
"0,68","12,73",seq0_no_checks,105-2-115_TwoPoints
"0,68","8,47",seq0_no_checks,105-2-115_TwoPoints
"0,46","8,90",seq0_no_checks,105-2-115_TwoPoints
"0,46","10,06",seq0_no_checks,105-2-115_TwoPoints
"1,28","38,37",seq0_no_checks,105-2-115_TwoPoints
"1,28","38,32",seq0_no_checks,105-2-115_TwoPoints
"1,43","30,46",seq0_no_checks,105-2-115_TwoPoints
"1,43","30,43",seq0_no_checks,105-2-115_TwoPoints
"1,35","35,19",seq0_no_checks,105-2-115_TwoPoints
"1,35","35,22",seq0_no_checks,105-2-115_TwoPoints
"1,75","17,78",seq0_no_checks,105-2-115_TwoPoints
"1,75","17,68",seq0_no_checks,105-2-115_TwoPoints
"1,50","19,67",seq0_no_checks,105-2-115_TwoPoints
"1,50","21,23",seq0_no_checks,105-2-115_TwoPoints
"1,50","20,18",seq0_no_checks,105-2-115_TwoPoints
"1,50","20,15",seq0_no_checks,105-2-115_TwoPoints
"1,53","17,63",seq0_no_checks,105-2-115_TwoPoints
"1,53","19,21",seq0_no_checks,105-2-115_TwoPoints
"0,39","27,53",seq0_no_checks,105-2-115_TwoPoints
"0,39","26,51",seq0_no_checks,105-2-115_TwoPoints
"0,38","28,54",seq0_no_checks,105-2-115_TwoPoints
"0,38","27,51",seq0_no_checks,105-2-115_TwoPoints
"0,79","40,41",seq0_no_checks,105-2-115_TwoPoints
"0,79","40,05",seq0_no_checks,105-2-115_TwoPoints
"1,38","20,26",seq0_no_checks,105-2-115_TwoPoints
"1,38","21,89",seq0_no_checks,105-2-115_TwoPoints
"1,27","19,12",seq0_no_checks,105-2-115_TwoPoints
"1,27","19,55",seq0_no_checks,105-2-115_TwoPoints
"0,34","49,13",seq0_no_checks,105-2-115_TwoPoints
"0,34","48,11",seq0_no_checks,105-2-115_TwoPoints
"0,36","43,17",seq0_no_checks,105-2-115_TwoPoints
"0,36","42,15",seq0_no_checks,105-2-115_TwoPoints
"1,09","46,14",seq0_no_checks,105-2-115_TwoPoints
"1,09","46,27",seq0_no_checks,105-2-115_TwoPoints
"0,47","6,24",seq0_no_checks,105-2-115_TwoPoints
"0,47","5,21",seq0_no_checks,105-2-115_TwoPoints
"1,57","4,07",seq0_no_checks,105-2-115_TwoPoints
"1,57","2,80",seq0_no_checks,105-2-115_TwoPoints
"1,50","20,79",seq0_no_checks,105-2-115_TwoPoints
"1,50","20,65",seq0_no_checks,105-2-115_TwoPoints
"1,50","20,52",seq0_no_checks,105-2-115_TwoPoints
"1,50","20,38",seq0_no_checks,105-2-115_TwoPoints
"1,66","19,66",seq0_no_checks,105-2-115_TwoPoints
"1,66","19,75",seq0_no_checks,105-2-115_TwoPoints
"1,31","35,67",seq0_no_checks,105-2-115_TwoPoints
"1,31","36,95",seq0_no_checks,105-2-115_TwoPoints
"1,28","12,35",seq0_no_checks,105-2-115_TwoPoints
"1,28","13,61",seq0_no_checks,105-2-115_TwoPoints
"0,54","2,32",seq0_no_checks,105-2-115_TwoPoints
"0,54","3,31",seq0_no_checks,105-2-115_TwoPoints
"0,18","154,62",seq0_no_checks,105-2-115_TwoPoints
"0,18","153,64",seq0_no_checks,105-2-115_TwoPoints
"1,77","16,93",seq0_no_checks,105-2-115_TwoPoints
"1,77","16,82",seq0_no_checks,105-2-115_TwoPoints
"1,75","17,65",seq0_no_checks,105-2-115_TwoPoints
"1,75","19,39",seq0_no_checks,105-2-115_TwoPoints
"0,63","13,49",seq0_no_checks,105-2-115_TwoPoints
"0,63","14,59",seq0_no_checks,105-2-115_TwoPoints
"1,24","39,58",seq0_no_checks,105-2-115_TwoPoints
"1,24","40,92",seq0_no_checks,105-2-115_TwoPoints
"1,25","38,64",seq0_no_checks,105-2-115_TwoPoints
"1,25","38,65",seq0_no_checks,105-2-115_TwoPoints
"0,18","171,95",seq0_no_checks,105-2-115_TwoPoints
"0,18","170,97",seq0_no_checks,105-2-115_TwoPoints
"0,18","173,58",seq0_no_checks,105-2-115_TwoPoints
"0,18","172,60",seq0_no_checks,105-2-115_TwoPoints
"0,47","99,58",seq0_no_checks,105-2-115_TwoPoints
"0,47","98,61",seq0_no_checks,105-2-115_TwoPoints
"0,57","71,09",seq0_no_checks,105-2-115_TwoPoints
"0,57","70,09",seq0_no_checks,105-2-115_TwoPoints
"0,64","58,00",seq0_no_checks,105-2-115_TwoPoints
"0,64","56,96",seq0_no_checks,105-2-115_TwoPoints
"0,42","116,35",seq0_no_checks,105-2-115_TwoPoints
"0,42","115,31",seq0_no_checks,105-2-115_TwoPoints
"0,48","24,93",seq0_no_checks,105-2-115_TwoPoints
"0,48","23,80",seq0_no_checks,105-2-115_TwoPoints
"1,79","5,34",seq0_no_checks,105-2-115_TwoPoints
"1,79","5,16",seq0_no_checks,105-2-115_TwoPoints
"1,36","17,13",seq0_no_checks,105-2-115_TwoPoints
"1,36","14,78",seq0_no_checks,105-2-115_TwoPoints
"1,24","10,99",seq0_no_checks,105-2-115_TwoPoints
"1,24","8,68",seq0_no_checks,105-2-115_TwoPoints
"0,76","22,32",seq0_no_checks,105-2-115_TwoPoints
"0,76","21,45",seq0_no_checks,105-2-115_TwoPoints
"0,78","21,61",seq0_no_checks,105-2-115_TwoPoints
"0,78","22,78",seq0_no_checks,105-2-115_TwoPoints
"1,43","21,02",seq0_no_checks,105-2-115_TwoPoints
"1,43","22,54",seq0_no_checks,105-2-115_TwoPoints
"0,67","13,86",seq0_no_checks,105-2-115_TwoPoints
"0,67","9,60",seq0_no_checks,105-2-115_TwoPoints
"0,53","85,53",seq0_no_checks,105-2-115_TwoPoints
"0,53","86,67",seq0_no_checks,105-2-115_TwoPoints
"1,99","6,18",seq0_no_checks,105-2-115_TwoPoints
"1,99","6,00",seq0_no_checks,105-2-115_TwoPoints
"1,59","21,23",seq0_no_checks,105-2-115_TwoPoints
