Level,Checks,105-2-115-TwoPoints Improvement (%),105-2-115-TwoPoints Final Vs Mov (%),105-2-115-TwoPoints Av. movement,105-2-115-TwoPoints Av. error,105-2-115-TwoPoints Av. upToScale error,105-2-115-TwoPoints RMSE,105-2-115-TwoPoints t C1C2 norm (mm),105-2-115-TwoPoints parallax,105-2-115-TwoPoints nMatches,105-2-115-TwoPoints nMPs,125-3-140-TwoPoints Improvement (%),125-3-140-TwoPoints Final Vs Mov (%),125-3-140-TwoPoints Av. movement,125-3-140-TwoPoints Av. error,125-3-140-TwoPoints Av. upToScale error,125-3-140-TwoPoints RMSE,125-3-140-TwoPoints t C1C2 norm (mm),125-3-140-TwoPoints parallax,125-3-140-TwoPoints nMatches,125-3-140-TwoPoints nMPs,140-3-150-TwoPoints Improvement (%),140-3-150-TwoPoints Final Vs Mov (%),140-3-150-TwoPoints Av. movement,140-3-150-TwoPoints Av. error,140-3-150-TwoPoints Av. upToScale error,140-3-150-TwoPoints RMSE,140-3-150-TwoPoints t C1C2 norm (mm),140-3-150-TwoPoints parallax,140-3-150-TwoPoints nMatches,140-3-150-TwoPoints nMPs,150-2-160-TwoPoints Improvement (%),150-2-160-TwoPoints Final Vs Mov (%),150-2-160-TwoPoints Av. movement,150-2-160-TwoPoints Av. error,150-2-160-TwoPoints Av. upToScale error,150-2-160-TwoPoints RMSE,150-2-160-TwoPoints t C1C2 norm (mm),150-2-160-TwoPoints parallax,150-2-160-TwoPoints nMatches,150-2-160-TwoPoints nMPs
seq0,checks,"-3,71","14201,94","1,41","200,29","0,02","201,22","1,77","0,20","595,00","148,00","73,90","650,82","0,94","6,15","5,25","8,04","2,50","2,15","347,00","294,00","11,62","1428,67","0,89","12,64","11,01","16,36","2,50","2,86","347,00","476,00","92,58","46,73","1,88","0,88","0,02","1,03","5,30","2,09","193,00","88,00"
seq0,no_checks,"82,91","449,67","1,69","7,58","6,58","11,47","1,77","1,81","596,00","1190,00","58,74","855,55","1,62","13,83","11,27","16,88","2,50","2,55","344,00","666,00","7,52","1486,59","1,21","17,95","14,62","22,95","2,50","2,88","347,00","668,00","0,44","675,61","1,31","8,86","9,89","11,70","1,77","2,27","434,00","832,00"
seq1,no_checks,"34,91","439,24","4,38","19,24","11,61","24,36","3,97","4,12","433,00","864,00","-6,55","1909,18","1,98","37,81","1,90","39,36","2,50","2,75","377,00","692,00","2,27","1531,72","1,12","17,22","14,54","23,13","2,50","2,53","260,00","500,00","13,08","770,48","1,60","12,34","12,55","17,68","1,77","2,59","401,00","750,00"
seq2,no_checks,"22,14","1001,51","1,81","18,14","7,15","20,95","1,77","1,97","609,00","1170,00","29,89","1029,44","2,08","21,40","17,17","26,24","2,50","2,95","363,00","690,00","46,18","983,62","1,43","14,02","7,20","17,51","2,50","3,07","333,00","660,00","3,30","858,01","1,99","17,05","11,95","21,40","1,77","3,08","399,00","722,00"
seq3,no_checks,"38,02","600,71","1,94","11,65","5,91","14,23","1,77","2,11","608,00","1214,00","51,17","758,96","2,29","17,41","12,22","21,20","2,50","2,79","384,00","720,00","0,17","1249,36","1,24","15,54","11,46","22,44","2,50","2,85","336,00","664,00","28,85","635,80","1,97","12,53","7,08","14,58","1,77","2,72","351,00","622,00"
seq4,no_checks,"34,89","743,92","2,08","15,51","9,96","19,08","1,77","2,73","478,00","920,00","41,98","691,17","2,35","16,26","6,62","18,80","2,50","3,51","335,00","668,00","10,06","1575,86","1,63","25,70","18,78","30,28","2,50","3,06","307,00","596,00","0,12","891,52","2,52","22,45","11,97","25,46","1,77","3,42","292,00","578,00"
seq5,no_checks,"37,04","838,93","2,15","18,04","15,83","19,58","1,77","2,28","268,00","514,00","39,76","635,96","2,38","15,16","14,78","21,35","2,50","2,69","182,00","364,00","36,55","976,93","2,02","19,72","12,11","26,44","2,50","2,80","155,00","308,00","-1,52","884,40","3,93","34,78","0,02","35,24","1,77","3,31","121,00","232,00"
